,fname,val,k
0,000000575477.jpg,True,0
1,000000560116.jpg,True,0
2,000000521272.jpg,True,0
3,000000565145.jpg,True,0
4,000000563577.jpg,True,0
5,000000561315.jpg,True,0
6,000000569105.jpg,False,0
7,000000552220.jpg,False,0
8,000000520056.jpg,False,0
9,000000516578.jpg,False,0
10,000000552991.jpg,False,0
11,000000565162.jpg,False,0
12,000000528335.jpg,True,0
13,000000517376.jpg,True,0
14,000000529573.jpg,True,0
15,000000578028.jpg,True,0
16,000000523595.jpg,True,0
17,000000544907.jpg,True,0
18,000000516894.jpg,True,0
19,000000552608.jpg,True,0
20,000000545451.jpg,True,0
21,000000542588.jpg,True,0
22,000000521551.jpg,True,0
23,000000557754.jpg,True,0
24,000000515756.jpg,True,0
25,000000537605.jpg,True,0
26,000000515816.jpg,True,0
27,000000567334.jpg,True,0
28,000000539587.jpg,True,0
29,000000562311.jpg,True,0
30,000000537285.jpg,True,0
31,000000565359.jpg,True,0
32,000000570181.jpg,True,0
33,000000539429.jpg,True,0
34,000000574274.jpg,True,0
35,000000530553.jpg,True,0
36,000000518851.jpg,True,0
37,000000533205.jpg,True,0
38,000000541153.jpg,True,0
39,000000546392.jpg,True,0
40,000000521265.jpg,True,0
41,000000572281.jpg,True,0
42,000000554696.jpg,True,0
43,000000536279.jpg,True,0
44,000000535846.jpg,True,0
45,000000581095.jpg,True,0
46,000000531629.jpg,True,0
47,000000571771.jpg,True,0
48,000000526298.jpg,True,0
49,000000540650.jpg,True,0
50,000000569623.jpg,True,0
51,000000536478.jpg,True,0
52,000000572838.jpg,True,0
53,000000564877.jpg,True,0
54,000000528908.jpg,True,0
55,000000580270.jpg,True,0
56,000000557331.jpg,True,0
57,000000562439.jpg,True,0
58,000000581265.jpg,True,0
59,000000563383.jpg,True,0
60,000000561282.jpg,True,0
61,000000538024.jpg,True,0
62,000000527115.jpg,True,0
63,000000522693.jpg,True,0
64,000000574230.jpg,True,0
65,000000533167.jpg,True,0
66,000000538130.jpg,False,0
67,000000580438.jpg,True,0
68,000000533866.jpg,True,0
69,000000528324.jpg,True,0
70,000000534376.jpg,True,0
71,000000556895.jpg,True,0
72,000000528290.jpg,True,0
73,000000561250.jpg,True,0
74,000000536253.jpg,True,0
75,000000578639.jpg,True,0
76,000000536908.jpg,True,0
77,000000546225.jpg,True,0
78,000000524726.jpg,True,0
79,000000531731.jpg,True,0
80,000000534550.jpg,True,0
81,000000557770.jpg,True,0
82,000000548767.jpg,True,0
83,000000580496.jpg,True,0
84,000000547042.jpg,True,0
85,000000515996.jpg,True,0
86,000000532886.jpg,True,0
87,000000561759.jpg,True,0
88,000000529595.jpg,True,0
89,000000528991.jpg,True,0
90,000000558680.jpg,True,0
91,000000570157.jpg,True,0
92,000000544938.jpg,True,0
93,000000551628.jpg,False,0
94,000000549070.jpg,False,0
95,000000531251.jpg,False,0
96,000000570020.jpg,False,0
97,000000541781.jpg,False,0
98,000000533390.jpg,False,0
99,000000535731.jpg,False,0
100,000000534899.jpg,True,0
101,000000531417.jpg,False,0
102,000000579338.jpg,False,0
103,000000556206.jpg,False,0
104,000000549408.jpg,True,0
105,000000562665.jpg,False,0
106,000000533718.jpg,False,0
107,000000525013.jpg,False,0
108,000000553257.jpg,False,0
109,000000580448.jpg,False,0
110,000000565472.jpg,False,0
111,000000554153.jpg,False,0
112,000000567461.jpg,False,0
113,000000546616.jpg,False,0
114,000000580635.jpg,False,0
115,000000572576.jpg,False,0
116,000000544030.jpg,True,0
117,000000518045.jpg,False,0
118,000000536115.jpg,False,0
119,000000515675.jpg,False,0
120,000000575809.jpg,False,0
121,000000567386.jpg,False,0
122,000000556200.jpg,False,0
123,000000534059.jpg,False,0
124,000000550131.jpg,False,0
125,000000580535.jpg,False,0
126,000000556184.jpg,False,0
127,000000568541.jpg,False,0
128,000000529816.jpg,False,0
129,000000533740.jpg,False,0
130,000000558413.jpg,False,0
131,000000547159.jpg,False,0
132,000000522532.jpg,False,0
133,000000522518.jpg,False,0
134,000000532935.jpg,False,0
135,000000527385.jpg,False,0
136,000000553170.jpg,False,0
137,000000549116.jpg,False,0
138,000000528593.jpg,False,0
139,000000569573.jpg,False,0
140,000000574441.jpg,False,0
141,000000520695.jpg,False,0
142,000000540360.jpg,False,0
143,000000577101.jpg,False,0
144,000000545887.jpg,False,0
145,000000551634.jpg,False,0
146,000000519518.jpg,True,0
147,000000522050.jpg,False,0
148,000000575390.jpg,False,0
149,000000556768.jpg,False,0
150,000000556093.jpg,False,0
151,000000564207.jpg,False,0
152,000000580425.jpg,False,0
153,000000564213.jpg,False,0
154,000000560650.jpg,False,0
155,000000557034.jpg,False,0
156,000000529971.jpg,False,0
157,000000517486.jpg,False,0
158,000000573244.jpg,False,0
159,000000575054.jpg,False,0
160,000000545146.jpg,False,0
161,000000563193.jpg,True,0
162,000000565010.jpg,False,0
163,000000531933.jpg,False,0
164,000000558218.jpg,False,0
165,000000568380.jpg,False,0
166,000000539272.jpg,True,0
167,000000549533.jpg,False,0
168,000000531314.jpg,False,0
169,000000568719.jpg,False,0
170,000000539547.jpg,False,0
171,000000523303.jpg,False,0
172,000000581644.jpg,True,0
173,000000549751.jpg,False,0
174,000000520711.jpg,True,0
175,000000523901.jpg,False,0
176,000000535095.jpg,False,0
177,000000528902.jpg,False,0
178,000000570119.jpg,False,0
179,000000543937.jpg,False,0
180,000000524659.jpg,False,0
181,000000531359.jpg,False,0
182,000000535747.jpg,False,0
183,000000540948.jpg,False,0
184,000000571693.jpg,False,0
185,000000535985.jpg,False,0
186,000000549811.jpg,True,0
187,000000569932.jpg,False,0
188,000000529730.jpg,False,0
189,000000519750.jpg,False,0
190,000000557526.jpg,False,0
191,000000532386.jpg,True,0
192,000000559276.jpg,False,0
193,000000517550.jpg,False,0
194,000000547805.jpg,False,0
195,000000579864.jpg,False,0
196,000000550259.jpg,False,0
197,000000552770.jpg,False,0
198,000000577985.jpg,False,0
199,000000551844.jpg,False,0
200,000000550101.jpg,False,0
201,000000562792.jpg,False,0
202,000000575593.jpg,False,0
203,000000575232.jpg,False,0
204,000000521688.jpg,False,0
205,000000544501.jpg,False,0
206,000000571373.jpg,False,0
207,000000562074.jpg,False,0
208,000000564087.jpg,False,0
209,000000538355.jpg,False,0
210,000000579263.jpg,False,0
211,000000518035.jpg,False,0
212,000000560194.jpg,False,0
213,000000532794.jpg,False,0
214,000000548491.jpg,False,0
215,000000566921.jpg,False,0
216,000000520031.jpg,True,0
217,000000574966.jpg,False,0
218,000000575388.jpg,False,0
219,000000542970.jpg,False,0
220,000000536250.jpg,False,0
221,000000545504.jpg,False,0
222,000000557446.jpg,False,0
223,000000547408.jpg,False,0
224,000000539469.jpg,False,0
225,000000515634.jpg,False,0
226,000000539769.jpg,False,0
227,000000575275.jpg,False,0
228,000000524856.jpg,False,0
229,000000526863.jpg,False,0
230,000000518141.jpg,False,0
231,000000539050.jpg,False,0
232,000000544982.jpg,False,0
233,000000574105.jpg,False,0
234,000000542216.jpg,False,0
235,000000535619.jpg,False,0
236,000000561747.jpg,False,0
237,000000580473.jpg,False,0
238,000000550531.jpg,False,0
239,000000579377.jpg,False,0
240,000000563831.jpg,True,0
241,000000548589.jpg,False,0
242,000000561663.jpg,False,0
243,000000564539.jpg,False,0
244,000000581342.jpg,False,0
245,000000565063.jpg,False,0
246,000000575721.jpg,False,0
247,000000566459.jpg,False,0
248,000000554763.jpg,True,0
249,000000531437.jpg,False,0
250,000000545017.jpg,False,0
251,000000517810.jpg,False,0
252,000000568136.jpg,False,0
253,000000553348.jpg,False,0
254,000000561219.jpg,False,0
255,000000514905.jpg,False,0
256,000000578321.jpg,True,0
257,000000564229.jpg,False,0
258,000000515596.jpg,False,0
259,000000540034.jpg,False,0
260,000000554993.jpg,False,0
261,000000540293.jpg,False,0
262,000000539273.jpg,False,0
263,000000544454.jpg,False,0
264,000000524036.jpg,True,0
265,000000543149.jpg,False,0
266,000000566269.jpg,False,0
267,000000516073.jpg,True,0
268,000000577465.jpg,False,0
269,000000521380.jpg,False,0
270,000000561832.jpg,True,0
271,000000546030.jpg,True,0
272,000000545256.jpg,False,0
273,000000517559.jpg,False,0
274,000000539009.jpg,False,0
275,000000522578.jpg,False,0
276,000000528768.jpg,False,0
277,000000516032.jpg,False,0
278,000000570370.jpg,False,0
279,000000574204.jpg,False,0
280,000000558691.jpg,True,0
281,000000575148.jpg,False,0
282,000000563800.jpg,False,0
283,000000549591.jpg,False,0
284,000000575085.jpg,False,0
285,000000553922.jpg,False,0
286,000000581645.jpg,False,0
287,000000547967.jpg,False,0
288,000000578266.jpg,False,0
289,000000527393.jpg,True,0
290,000000575423.jpg,False,0
291,000000525963.jpg,False,0
292,000000573919.jpg,False,0
293,000000579894.jpg,False,0
294,000000541598.jpg,False,0
295,000000579597.jpg,False,0
296,000000552955.jpg,False,0
297,000000551234.jpg,False,0
298,000000566019.jpg,False,0
299,000000555594.jpg,False,0
300,000000546259.jpg,False,0
301,000000569152.jpg,False,0
302,000000580193.jpg,False,0
303,000000538224.jpg,False,0
304,000000542648.jpg,False,0
305,000000571981.jpg,False,0
306,000000560145.jpg,False,0
307,000000547045.jpg,False,0
308,000000523122.jpg,False,0
309,000000520415.jpg,False,0
310,000000581706.jpg,False,0
311,000000527864.jpg,False,0
312,000000551694.jpg,False,0
313,000000574233.jpg,False,0
314,000000525257.jpg,False,0
315,000000575667.jpg,False,0
316,000000577689.jpg,False,0
317,000000551774.jpg,False,0
318,000000572583.jpg,True,0
319,000000554999.jpg,False,0
320,000000520646.jpg,False,0
321,000000581836.jpg,False,0
322,000000561904.jpg,True,0
323,000000515877.jpg,False,0
324,000000519270.jpg,False,0
325,000000553238.jpg,False,0
326,000000579972.jpg,False,0
327,000000523479.jpg,False,0
328,000000535518.jpg,False,0
329,000000537609.jpg,False,0
330,000000526817.jpg,False,0
331,000000521081.jpg,False,0
332,000000581333.jpg,False,0
333,000000516057.jpg,False,0
334,000000548064.jpg,False,0
335,000000516351.jpg,False,0
336,000000543682.jpg,True,0
337,000000548880.jpg,False,0
338,000000517444.jpg,False,0
339,000000580224.jpg,False,0
340,000000539240.jpg,False,0
341,000000529316.jpg,False,0
342,000000552278.jpg,False,0
343,000000563732.jpg,False,0
344,000000536706.jpg,False,0
345,000000562976.jpg,False,0
346,000000577379.jpg,False,0
347,000000534563.jpg,True,0
348,000000554594.jpg,False,0
349,000000557696.jpg,False,0
350,000000577799.jpg,False,0
351,000000548740.jpg,False,0
352,000000559871.jpg,False,0
353,000000534009.jpg,False,0
354,000000554331.jpg,False,0
355,000000567534.jpg,False,0
356,000000566933.jpg,False,0
357,000000578443.jpg,False,0
358,000000566150.jpg,False,0
359,000000538959.jpg,False,0
360,000000528871.jpg,False,0
361,000000557414.jpg,False,0
362,000000555395.jpg,False,0
363,000000515901.jpg,False,0
364,000000521120.jpg,False,0
365,000000534599.jpg,False,0
366,000000581272.jpg,True,0
367,000000555421.jpg,False,0
368,000000579285.jpg,False,0
369,000000533977.jpg,False,0
370,000000550858.jpg,False,0
371,000000518864.jpg,False,0
372,000000526293.jpg,False,0
373,000000550636.jpg,False,0
374,000000547822.jpg,False,0
375,000000536002.jpg,False,0
376,000000535665.jpg,False,0
377,000000571986.jpg,False,0
378,000000518031.jpg,False,0
379,000000540282.jpg,False,0
380,000000527900.jpg,False,0
381,000000533432.jpg,False,0
382,000000579119.jpg,False,0
383,000000518666.jpg,False,0
384,000000576917.jpg,False,0
385,000000556457.jpg,False,0
386,000000574903.jpg,False,0
387,000000565621.jpg,True,0
388,000000533748.jpg,False,0
389,000000539433.jpg,False,0
390,000000527880.jpg,False,0
391,000000544377.jpg,False,0
392,000000536527.jpg,False,0
393,000000542237.jpg,False,0
394,000000576699.jpg,False,0
395,000000575297.jpg,False,0
396,000000536452.jpg,False,0
397,000000573220.jpg,True,0
398,000000536501.jpg,False,0
399,000000516887.jpg,False,0
400,000000565403.jpg,False,0
401,000000526569.jpg,True,0
402,000000564182.jpg,False,0
403,000000545222.jpg,False,0
404,000000558590.jpg,True,0
405,000000579873.jpg,False,0
406,000000561906.jpg,False,0
407,000000523249.jpg,False,0
408,000000515817.jpg,False,0
409,000000518111.jpg,False,0
410,000000556989.jpg,False,0
411,000000564538.jpg,False,0
412,000000561819.jpg,False,0
413,000000536691.jpg,False,0
414,000000577523.jpg,False,0
415,000000545880.jpg,False,0
416,000000529869.jpg,False,0
417,000000546505.jpg,False,0
418,000000536625.jpg,False,0
419,000000539855.jpg,False,0
420,000000556297.jpg,False,0
421,000000561782.jpg,False,0
422,000000567088.jpg,False,0
423,000000530733.jpg,False,0
424,000000546250.jpg,False,0
425,000000562429.jpg,False,0
426,000000537075.jpg,False,0
427,000000536060.jpg,False,0
428,000000543828.jpg,False,0
429,000000531712.jpg,False,0
430,000000520071.jpg,False,0
431,000000562250.jpg,False,0
432,000000555841.jpg,False,0
433,000000527478.jpg,False,0
434,000000537435.jpg,False,0
435,000000563375.jpg,False,0
436,000000545067.jpg,False,0
437,000000544083.jpg,False,0
438,000000534280.jpg,False,0
439,000000532176.jpg,False,0
440,000000577248.jpg,False,0
441,000000544029.jpg,True,0
442,000000556710.jpg,False,0
443,000000573304.jpg,False,0
444,000000551289.jpg,False,0
445,000000550406.jpg,True,0
446,000000523723.jpg,False,0
447,000000542507.jpg,False,0
448,000000527017.jpg,True,0
449,000000517180.jpg,False,0
450,000000569870.jpg,False,0
451,000000543031.jpg,True,0
452,000000573837.jpg,False,0
453,000000535436.jpg,False,0
454,000000569473.jpg,False,0
455,000000561236.jpg,False,0
456,000000577218.jpg,False,0
457,000000570627.jpg,False,0
458,000000552653.jpg,False,0
459,000000537187.jpg,False,0
460,000000546992.jpg,False,0
461,000000527041.jpg,False,0
462,000000573305.jpg,False,0
463,000000547924.jpg,False,0
464,000000575402.jpg,True,0
465,000000538998.jpg,False,0
466,000000537593.jpg,False,0
467,000000573040.jpg,False,0
468,000000563675.jpg,False,0
469,000000572020.jpg,False,0
470,000000530657.jpg,True,0
471,000000538598.jpg,True,0
472,000000523570.jpg,False,0
473,000000529747.jpg,False,0
474,000000552743.jpg,False,0
475,000000578234.jpg,False,0
476,000000576969.jpg,False,0
477,000000548947.jpg,False,0
478,000000578296.jpg,False,0
479,000000541960.jpg,False,0
480,000000519473.jpg,False,0
481,000000567092.jpg,False,0
482,000000560595.jpg,False,0
483,000000575735.jpg,False,0
484,000000567137.jpg,False,0
485,000000525326.jpg,False,0
486,000000519780.jpg,False,0
487,000000574270.jpg,False,0
488,000000551644.jpg,False,0
489,000000571218.jpg,False,0
490,000000537767.jpg,False,0
491,000000538855.jpg,False,0
492,000000528883.jpg,False,0
493,000000538584.jpg,False,0
494,000000556263.jpg,False,0
495,000000560939.jpg,False,0
0,000000575477.jpg,True,1
1,000000560116.jpg,True,1
2,000000521272.jpg,True,1
3,000000565145.jpg,True,1
4,000000563577.jpg,True,1
5,000000561315.jpg,True,1
6,000000528335.jpg,True,1
7,000000517376.jpg,True,1
8,000000529573.jpg,True,1
9,000000572642.jpg,True,1
10,000000578028.jpg,True,1
11,000000523595.jpg,True,1
12,000000544907.jpg,True,1
13,000000516894.jpg,True,1
14,000000552608.jpg,True,1
15,000000545451.jpg,True,1
16,000000542588.jpg,True,1
17,000000521551.jpg,True,1
18,000000557754.jpg,True,1
19,000000515756.jpg,True,1
20,000000537605.jpg,True,1
21,000000515816.jpg,True,1
22,000000567334.jpg,True,1
23,000000539587.jpg,True,1
24,000000562311.jpg,True,1
25,000000537285.jpg,True,1
26,000000565359.jpg,True,1
27,000000570181.jpg,True,1
28,000000539429.jpg,True,1
29,000000574274.jpg,True,1
30,000000530553.jpg,True,1
31,000000518851.jpg,True,1
32,000000533205.jpg,True,1
33,000000541153.jpg,True,1
34,000000546392.jpg,True,1
35,000000521265.jpg,True,1
36,000000572281.jpg,True,1
37,000000554696.jpg,True,1
38,000000536279.jpg,True,1
39,000000535846.jpg,True,1
40,000000581095.jpg,True,1
41,000000531629.jpg,True,1
42,000000571771.jpg,True,1
43,000000526298.jpg,True,1
44,000000540650.jpg,True,1
45,000000569623.jpg,True,1
46,000000536478.jpg,True,1
47,000000572838.jpg,True,1
48,000000564877.jpg,True,1
49,000000528908.jpg,True,1
50,000000580270.jpg,True,1
51,000000557331.jpg,True,1
52,000000562439.jpg,True,1
53,000000581265.jpg,True,1
54,000000563383.jpg,True,1
55,000000561282.jpg,True,1
56,000000538024.jpg,True,1
57,000000527115.jpg,True,1
58,000000522693.jpg,True,1
59,000000574230.jpg,True,1
60,000000533167.jpg,True,1
61,000000538130.jpg,False,1
62,000000580438.jpg,True,1
63,000000533866.jpg,True,1
64,000000528324.jpg,True,1
65,000000534376.jpg,True,1
66,000000556895.jpg,True,1
67,000000528290.jpg,True,1
68,000000561250.jpg,True,1
69,000000562329.jpg,True,1
70,000000536253.jpg,True,1
71,000000578639.jpg,True,1
72,000000536908.jpg,True,1
